term,odds_ratio,p_value,human_rate,ai_rate,fdr_p_value,significant
tapestry,,1.0,0.0,0.0,1.0,False
delve,,1.0,0.0,0.0,1.0,False
testament,,1.0,0.0,0.0,1.0,False
realm,0.0,0.061705346901920595,0.0,0.01272264631043257,1.0,False
multifaceted,,1.0,0.0,0.0,1.0,False
nuanced,0.0,1.0,0.0,0.002544529262086514,1.0,False
furthermore,0.0,1.0,0.0,0.002544529262086514,1.0,False
moreover,0.329923273657289,0.2865465238865219,0.005089058524173028,0.015267175572519083,1.0,False
underscore,,1.0,0.0,0.0,1.0,False
showcase,,1.0,0.0,0.0,1.0,False
landscape,,1.0,0.0,0.0,1.0,False
intricate,0.4987244897959184,1.0,0.002544529262086514,0.005089058524173028,1.0,False
vibrant,0.0,1.0,0.0,0.002544529262086514,1.0,False
foster,,1.0,0.0,0.0,1.0,False
embark,,1.0,0.0,0.0,1.0,False
paramount,,1.0,0.0,0.0,1.0,False
pivotal,,1.0,0.0,0.0,1.0,False
commendable,0.6649616368286445,1.0,0.005089058524173028,0.007633587786259542,1.0,False
notably,0.0,0.4993630573248408,0.0,0.005089058524173028,1.0,False
arguably,,1.0,0.0,0.0,1.0,False
ever-evolving,,1.0,0.0,0.0,1.0,False
in today's world,,1.0,0.0,0.0,1.0,False
