term,human_count,ai_count,human_per_1000,ai_per_1000,frequency_difference,paragraphs_human,paragraphs_ai
tapestry,0,0,0.0,0.0,0.0,0,0
delve,0,0,0.0,0.0,0.0,0,0
testament,0,0,0.0,0.0,0.0,0,0
realm,0,6,0.0,0.22190169754798625,0.22190169754798625,0,5
multifaceted,0,0,0.0,0.0,0.0,0,0
nuanced,0,1,0.0,0.0369836162579977,0.0369836162579977,0,1
furthermore,0,1,0.0,0.0369836162579977,0.0369836162579977,0,1
moreover,2,6,0.054074514681230736,0.22190169754798625,0.16782718286675552,2,6
underscore,0,0,0.0,0.0,0.0,0,0
showcase,0,0,0.0,0.0,0.0,0,0
landscape,0,0,0.0,0.0,0.0,0,0
intricate,1,2,0.027037257340615368,0.0739672325159954,0.04692997517538004,1,2
vibrant,0,1,0.0,0.0369836162579977,0.0369836162579977,0,1
foster,0,0,0.0,0.0,0.0,0,0
embark,0,0,0.0,0.0,0.0,0,0
paramount,0,0,0.0,0.0,0.0,0,0
pivotal,0,0,0.0,0.0,0.0,0,0
commendable,2,3,0.054074514681230736,0.11095084877399312,0.05687633409276239,2,3
notably,0,2,0.0,0.0739672325159954,0.0739672325159954,0,2
arguably,0,0,0.0,0.0,0.0,0,0
ever-evolving,0,0,0.0,0.0,0.0,0,0
in today's world,0,0,0.0,0.0,0.0,0,0
