term,occurrence_count,positive_attribution_count,mean_attribution,median_attribution,mean_absolute_attribution,fraction_positive
tapestry,0,0,0,0,0,0
delve,0,0,0,0,0,0
testament,0,0,0,0,0,0
realm,0,0,0,0,0,0
multifaceted,0,0,0,0,0,0
nuanced,0,0,0,0,0,0
furthermore,0,0,0,0,0,0
moreover,0,0,0,0,0,0
underscore,0,0,0,0,0,0
showcase,0,0,0,0,0,0
landscape,0,0,0,0,0,0
intricate,0,0,0,0,0,0
vibrant,0,0,0,0,0,0
foster,0,0,0,0,0,0
embark,0,0,0,0,0,0
paramount,0,0,0,0,0,0
pivotal,0,0,0,0,0,0
commendable,0,0,0,0,0,0
notably,0,0,0,0,0,0
arguably,0,0,0,0,0,0
ever-evolving,0,0,0,0,0,0
in today's world,0,0,0,0,0,0
