term,human_count,ai_count,human_per_1000,ai_per_1000,frequency_difference,paragraphs_human,paragraphs_ai
tapestry,0,0,0.0,0.0,0.0,0,0
delve,0,0,0.0,0.0,0.0,0,0
testament,0,0,0.0,0.0,0.0,0,0
realm,0,0,0.0,0.0,0.0,0,0
multifaceted,0,0,0.0,0.0,0.0,0,0
nuanced,0,1,0.0,0.06363752068219422,0.06363752068219422,0,1
furthermore,0,1,0.0,0.06363752068219422,0.06363752068219422,0,1
moreover,2,5,0.09301027763567875,0.3181876034109711,0.22517732577529231,2,5
underscore,0,0,0.0,0.0,0.0,0,0
showcase,0,0,0.0,0.0,0.0,0,0
landscape,0,0,0.0,0.0,0.0,0,0
intricate,1,2,0.046505138817839374,0.12727504136438844,0.08076990254654906,1,2
vibrant,0,0,0.0,0.0,0.0,0,0
foster,0,0,0.0,0.0,0.0,0,0
embark,0,0,0.0,0.0,0.0,0,0
paramount,0,0,0.0,0.0,0.0,0,0
pivotal,0,0,0.0,0.0,0.0,0,0
commendable,2,3,0.09301027763567875,0.19091256204658266,0.09790228441090391,2,3
notably,0,2,0.0,0.12727504136438844,0.12727504136438844,0,2
arguably,0,0,0.0,0.0,0.0,0,0
ever-evolving,0,0,0.0,0.0,0.0,0,0
in today's world,0,0,0.0,0.0,0.0,0,0
