term,occurrence_count,positive_attribution_count,mean_attribution,median_attribution,mean_absolute_attribution,fraction_positive
though,1,1,0.098187431693077,0.098187431693077,0.098187431693077,1.0
miss,2,2,0.0711318980902433,0.0711318980902433,0.0711318980902433,1.0
every,1,1,0.0187966898083686,0.0187966898083686,0.0187966898083686,1.0
upon,2,1,6.342306733130021e-05,6.342306733130021e-05,0.0410764627158641,0.5
elizabeth,1,1,0.1049056500196456,0.1049056500196456,0.1049056500196456,1.0
bingley,3,0,-0.7992423276106516,-0.1317493319511413,0.7992423276106516,0.0
yet,2,1,-0.045311326161026955,-0.045311326161026955,0.09862711094319815,0.5
lady,2,0,-0.0020436279010027,-0.0020436279010027,0.0020436279010027,0.0
bennet,1,0,-0.1510532684624195,-0.1510532684624195,0.1510532684624195,0.0
pride,2,1,0.17216200660914185,0.17216200660914185,0.19086748268455264,0.5
himself,1,1,0.0632021278142929,0.0632021278142929,0.0632021278142929,1.0
young,1,1,0.1660244762897491,0.1660244762897491,0.1660244762897491,1.0
character,3,1,-0.05410126441468793,-0.0201777350157499,0.07706961128860707,0.3333333333333333
sister,4,4,0.1071142114233225,0.040201492607593446,0.1071142114233225,1.0
family,1,0,-0.0097441542893648,-0.0097441542893648,0.0097441542893648,0.0
night,1,1,0.077278733253479,0.077278733253479,0.077278733253479,1.0
fortune,1,1,0.0471679791808128,0.0471679791808128,0.0471679791808128,1.0
hand,1,1,0.0359413549304008,0.0359413549304008,0.0359413549304008,1.0
myself,1,1,0.0104179494082927,0.0104179494082927,0.0104179494082927,1.0
nothing,1,1,0.0377032086253166,0.0377032086253166,0.0377032086253166,1.0
mother,1,0,-0.0143162496387958,-0.0143162496387958,0.0143162496387958,0.0
without,1,1,0.0001633712090551,0.0001633712090551,0.0001633712090551,1.0
others,1,1,0.0699484813958406,0.0699484813958406,0.0699484813958406,1.0
say,1,1,0.0359795205295085,0.0359795205295085,0.0359795205295085,1.0
better,1,0,-2.905288398265838,-2.905288398265838,2.905288398265838,0.0
enough,1,1,0.042503522709012,0.042503522709012,0.042503522709012,1.0
fine,1,1,0.3570687174797058,0.3570687174797058,0.3570687174797058,1.0
found,1,1,0.0510022640228271,0.0510022640228271,0.0510022640228271,1.0
again,1,1,0.008944702334702,0.008944702334702,0.008944702334702,1.0
manners,1,1,0.0653288885951042,0.0653288885951042,0.0653288885951042,1.0
things,1,1,0.0222047101706266,0.0222047101706266,0.0222047101706266,1.0
town,1,1,0.0106239132583141,0.0106239132583141,0.0106239132583141,1.0
themselves,1,0,-0.4267898499965668,-0.4267898499965668,0.4267898499965668,0.0
