term,odds_ratio,p_value,human_rate,ai_rate,fdr_p_value,significant
tapestry,,1.0,0.0,0.0,1.0,False
delve,,1.0,0.0,0.0,1.0,False
testament,,1.0,0.0,0.0,1.0,False
realm,0.0,0.06092376074983089,0.0,0.025252525252525252,1.0,False
multifaceted,,1.0,0.0,0.0,1.0,False
nuanced,,1.0,0.0,0.0,1.0,False
furthermore,,1.0,0.0,0.0,1.0,False
moreover,0.0,1.0,0.0,0.005050505050505051,1.0,False
underscore,,1.0,0.0,0.0,1.0,False
showcase,,1.0,0.0,0.0,1.0,False
landscape,,1.0,0.0,0.0,1.0,False
intricate,,1.0,0.0,0.0,1.0,False
vibrant,0.0,1.0,0.0,0.005050505050505051,1.0,False
foster,,1.0,0.0,0.0,1.0,False
embark,,1.0,0.0,0.0,1.0,False
paramount,,1.0,0.0,0.0,1.0,False
pivotal,,1.0,0.0,0.0,1.0,False
commendable,,1.0,0.0,0.0,1.0,False
notably,,1.0,0.0,0.0,1.0,False
arguably,,1.0,0.0,0.0,1.0,False
ever-evolving,,1.0,0.0,0.0,1.0,False
in today's world,,1.0,0.0,0.0,1.0,False
