term,human_count,ai_count,human_per_1000,ai_per_1000,frequency_difference,paragraphs_human,paragraphs_ai
tapestry,0,0,0.0,0.0,0.0,0,0
delve,0,0,0.0,0.0,0.0,0,0
testament,0,0,0.0,0.0,0.0,0,0
realm,0,6,0.0,0.5298013245033113,0.5298013245033113,0,5
multifaceted,0,0,0.0,0.0,0.0,0,0
nuanced,0,0,0.0,0.0,0.0,0,0
furthermore,0,0,0.0,0.0,0.0,0,0
moreover,0,1,0.0,0.08830022075055188,0.08830022075055188,0,1
underscore,0,0,0.0,0.0,0.0,0,0
showcase,0,0,0.0,0.0,0.0,0,0
landscape,0,0,0.0,0.0,0.0,0,0
intricate,0,0,0.0,0.0,0.0,0,0
vibrant,0,1,0.0,0.08830022075055188,0.08830022075055188,0,1
foster,0,0,0.0,0.0,0.0,0,0
embark,0,0,0.0,0.0,0.0,0,0
paramount,0,0,0.0,0.0,0.0,0,0
pivotal,0,0,0.0,0.0,0.0,0,0
commendable,0,0,0.0,0.0,0.0,0,0
notably,0,0,0.0,0.0,0.0,0,0
arguably,0,0,0.0,0.0,0.0,0,0
ever-evolving,0,0,0.0,0.0,0.0,0,0
in today's world,0,0,0.0,0.0,0.0,0,0
