paragraph_id,label,number_of_sentences,mean_sentence_length,median_sentence_length,standard_deviation_sentence_length,coefficient_of_variation_sentence_length,minimum_sentence_length,maximum_sentence_length,mean_word_length,median_word_length,standard_deviation_word_length
tale_of_two_cities_TFate _P1,Human,1,118.0,118.0,0.0,0.0,118,118,4.016949152542373,3.0,2.254874384292828
tale_of_two_cities_TFate _P1,AI,1,98.0,98.0,0.0,0.0,98,98,4.622448979591836,4.0,2.4054161086099395
tale_of_two_cities_TFate _P2,Human,5,50.6,55.0,13.230268326832983,0.26146775349472295,30,68,4.549407114624506,4.0,2.3088011801785036
tale_of_two_cities_TFate _P2,AI,5,45.2,49.0,12.6554336156451,0.27998746937267915,26,63,4.787610619469026,4.0,2.3945045026026937
tale_of_two_cities_TFate _P3,Human,4,41.75,35.5,23.763154251908563,0.5691773473511034,17,79,4.323353293413174,4.0,2.1702105670012495
tale_of_two_cities_TFate _P3,AI,4,39.0,34.0,17.72004514666935,0.45436013196588076,21,67,4.698717948717949,4.0,2.34362165438635
tale_of_two_cities_TFate _P4,Human,4,21.25,21.5,2.384848003542364,0.11222814134317008,18,24,4.447058823529412,4.0,2.204305318624501
tale_of_two_cities_TFate _P4,AI,4,21.5,22.0,6.103277807866851,0.28387338641241167,14,28,5.151162790697675,5.0,2.3846283014947818
tale_of_two_cities_TFate _P5,Human,9,30.88888888888889,29.0,13.337036522776584,0.4317745636870117,12,60,4.262589928057554,4.0,2.5486849022822686
tale_of_two_cities_TFate _P5,AI,8,33.875,30.5,14.793896545535256,0.43672019322613304,13,60,4.4944649446494465,4.0,2.5132429304324937
tale_of_two_cities_TFate _P6,Human,2,19.0,19.0,1.0,0.05263157894736842,18,20,5.5,5.0,3.050021570242966
tale_of_two_cities_TFate _P6,AI,2,20.5,20.5,2.5,0.12195121951219512,18,23,5.560975609756097,5.0,3.020650717230093
tale_of_two_cities_TFate _P7,Human,4,45.25,49.5,24.873429598670143,0.5496890519043125,10,72,4.464088397790055,4.0,2.3328267236493523
tale_of_two_cities_TFate _P7,AI,4,43.5,48.0,23.521266972678152,0.5407187809811069,10,68,4.862068965517241,4.0,2.533329161187294
tale_of_two_cities_TFate _P8,Human,4,20.0,24.5,11.20267825120404,0.560133912560202,1,30,4.6625,4.0,2.6549187840685446
tale_of_two_cities_TFate _P8,AI,4,20.25,25.5,11.211043662389331,0.553631785797004,1,29,4.814814814814815,4.0,2.802605098132239
tale_of_two_cities_TFate _P9,Human,5,8.0,5.0,5.585696017507576,0.698212002188447,1,16,3.923076923076923,3.0,2.31366747809858
tale_of_two_cities_TFate _P9,AI,5,7.6,5.0,5.851495535331117,0.7699336230698839,1,16,4.216216216216216,4.0,2.428826155530916
tale_of_two_cities_TFate _P10,Human,5,5.2,6.0,3.3105890714493698,0.6366517445094941,1,10,3.96,4.0,1.370547335920945
tale_of_two_cities_TFate _P10,AI,5,5.2,6.0,3.3105890714493698,0.6366517445094941,1,10,4.24,4.0,1.6069847541280533
tale_of_two_cities_TFate _P11,Human,3,30.666666666666668,29.0,24.931015935086872,0.8129679109267458,1,62,3.9347826086956523,3.0,2.311616918701708
tale_of_two_cities_TFate _P11,AI,3,28.333333333333332,28.0,22.45489305746572,0.7925256373223196,1,56,4.188235294117647,4.0,2.3085218986185474
tale_of_two_cities_TFate _P12,Human,4,62.0,60.5,38.76209488662861,0.6251950788165905,9,118,4.44758064516129,4.0,2.3922915087528938
tale_of_two_cities_TFate _P12,AI,4,56.25,55.5,35.66072769868837,0.6339684924211265,7,107,4.604444444444445,4.0,2.4871184179068266
tale_of_two_cities_TFate _P13,Human,8,7.0,7.5,4.031128874149275,0.5758755534498964,1,12,4.7272727272727275,4.0,2.4676418294288798
tale_of_two_cities_TFate _P13,AI,8,6.875,7.0,3.75624480032918,0.5463628800478807,1,12,5.056603773584905,5.0,2.4060857929435158
