top_positive_words,mean_positive_attribution,top_negative_words,mean_negative_attribution
out.âĢĿ,2.8253656178712845,better.,-2.905288398265838
ladies.âĢĿ,2.3063654601573944,Bingley,-1.1329888254404068
her.,1.4525628685951233,decidedly,-1.087900161743164
miserable.,1.164430521428585,them.,-0.6263806372880936
physicians.,1.1308854520320892,uncomfortable;,-0.6233013644814491
here.,0.8925135303288698,moment.,-0.5938753318041563
his.âĢĿ,0.6885919272899628,[Illustration:ĊĊA,-0.496544549241662
assuaged,0.5193550195544958,gravity.,-0.4638925194740295
urged,0.4992578625679016,you.âĢĿ,-0.4349024575203657
Mr.,0.4463045448064804,themselves,-0.4267898499965668
"Lizzy,âĢĿ",0.4381962344050407,âĢľYour,-0.4244519174098968
They,0.423789232969284,âĢľMerely,-0.3869816586375236
alone.,0.3896244307979941,morning.,-0.3288121819496155
"âĢľPride,âĢĿ",0.3630294892936945,*(Illustration,-0.3268454670906067
fine,0.3570687174797058,âĢľAnother,-0.2835125625133514
This,0.3560158610343933,sisters,-0.2431130409240722
sister.,0.3422814160585403,morning,-0.2264091372489929
precipitance,0.2013445422053337,"character,âĢĿ",-0.1765785785391926
Her,0.180324912071228,humble,-0.1650633066892624
"agreeable,",0.1754309460520744,âĢľI,-0.15351423745354018
